1e-06,0.1914,0.00073233
1.0998e-05,0.1905,0.00097251
5e-05,0.1909,1.3906e-05
0.0001,0.1914,0.0013025
0.00025,0.1912,0.0011189
0.0005,0.1905,0.00013246
0.00075,0.191,0.00011809
0.001,0.1908,0.00044854
0.002,0.1912,0.00040305
0.004,0.1908,0.00093173
0.008,0.191,0.00013294
0.016,0.1907,0.0010701
0.032,0.1908,0.0007658
0.064,0.1917,3.017e-05
0.128,0.1917,0.00022533
0.256,0.1932,0.00078206
0.512,0.1954,0.00034813
1.024,0.1975,0.0025022
2.048,0.2012,0.0050751
4.096,0.2089,0.0022309
8.192,0.2133,0.00025432
16.384,0.2187,0.00071512
32.768,0.2225,0.00025503
65.536,0.2263,0.0012916
131.072,0.2277,0.00063097
