1e-06,0.1911,0.0010826
1.0998e-05,0.1913,0.00035096
5e-05,0.1916,0.0011905
0.0001,0.1903,0.0015101
0.00025,0.1906,0.0014246
0.0005,0.1914,0.00076344
0.00075,0.1916,0.0012945
0.001,0.1921,0.00020129
0.002,0.191,0.00017961
0.004,0.1908,0.001039
0.008,0.1907,0.0013935
0.016,0.1916,0.00013906
0.032,0.1916,9.6638e-05
0.064,0.1935,9.6402e-05
0.128,0.1927,0.001454
0.256,0.1957,0.0047753
0.512,0.2035,0.0012405
1.024,0.2069,0.00028826
2.048,0.2119,7.2596e-05
4.096,0.2182,0.0015292
8.192,0.2211,0.00223
16.384,0.2253,0.00059421
32.768,0.2289,0.0024086
65.536,0.232,0.0012968
131.072,0.2362,0.0010574
