1e-06,0.19,2.0035e-05
1.0998e-05,0.1895,0.0020765
5e-05,0.1913,0.00084122
0.0001,0.1912,0.0025359
0.00025,0.1905,0.0022983
0.0005,0.1906,0.0026993
0.00075,0.1894,0.0015354
0.001,0.1903,0.001986
0.002,0.1898,0.0018015
0.004,0.1908,0.0021786
0.008,0.19,7.5425e-05
0.016,0.1914,0.0013213
0.032,0.193,0.00070216
0.064,0.1979,0.0025307
0.128,0.2039,0.00075142
0.256,0.206,0.0026363
0.512,0.2077,0.00073044
1.024,0.2119,0.0006265
2.048,0.2156,0.0019148
4.096,0.2198,0.0032065
8.192,0.2222,0.0018507
16.384,0.2243,0.00028779
32.768,0.2289,0.0020676
65.536,0.2323,0.0012982
131.072,0.2326,0.0024963
