1e-06,0.193,0.0015787
1.0998e-05,0.1926,0.0015047
5e-05,0.1929,0.0040022
0.0001,0.1919,0.0038839
0.00025,0.1916,0.0055536
0.0005,0.1918,0.0048543
0.00075,0.192,0.0032713
0.001,0.1931,0.0026896
0.002,0.1877,0.001455
0.004,0.1936,0.0036489
0.008,0.1919,0.0017029
0.016,0.1947,0.0032385
0.032,0.1949,0.0017732
0.064,0.2009,0.0043661
0.128,0.2062,0.00020648
0.256,0.2079,0.0020289
0.512,0.2114,0.0022422
1.024,0.2119,0.0054827
2.048,0.2189,0.00048955
4.096,0.224,0.0025552
8.192,0.2269,0.00019728
16.384,0.2297,0.00058501
32.768,0.2301,0.003527
65.536,0.2342,0.00091452
131.072,0.2372,0.0017362
