1e-06,0.1928,0.00093102
1.0998e-05,0.1923,0.0018173
5e-05,0.1929,0.0021465
0.0001,0.1915,0.0014517
0.00025,0.1912,0.001112
0.0005,0.1925,1.7442e-05
0.00075,0.1919,0.0010972
0.001,0.1889,0.0042438
0.002,0.1914,0.0036004
0.004,0.1937,0.0012999
0.008,0.191,0.0045384
0.016,0.1926,0.0010654
0.032,0.197,0.0012082
0.064,0.1992,0.002114
0.128,0.2069,0.0030799
0.256,0.2086,0.0013708
0.512,0.213,0.0022549
1.024,0.2154,0.0017939
2.048,0.2187,0.0019947
4.096,0.2236,0.0033109
8.192,0.2293,0.0033906
16.384,0.2348,0.0042153
32.768,0.2357,0.0111
65.536,0.2472,0.0076836
131.072,0.253,0.006305
