1e-06,0.1912,7.9432e-05
1.0998e-05,0.1918,0.00029793
5e-05,0.192,0.0014
0.0001,0.1913,0.0013
0.00025,0.1911,3.6062e-05
0.0005,0.1908,0.0016
0.00075,0.1911,0.00038184
0.001,0.1924,0.00025833
0.002,0.1935,0.0015
0.004,0.1922,0.001
0.008,0.1921,0.00029628
0.016,0.1925,0.00044383
0.032,0.1979,0.00064936
0.064,0.201,0.0027
0.128,0.2056,0.0019
0.256,0.2102,0.00057511
0.512,0.2106,0.0014
1.024,0.2133,0.0016
2.048,0.2152,0.0014
4.096,0.221,0.0015
8.192,0.2234,0.00096497
16.384,0.2277,0.00089378
32.768,0.2302,0.0012
65.536,0.2315,0.00068024
131.072,0.2333,0.0023
