1e-06,0.1914,0.00080021
1.0998e-05,0.1921,0.00098689
5e-05,0.1901,0.00053316
0.0001,0.1915,0.0013197
0.00025,0.1919,0.00010536
0.0005,0.1918,0.00066963
0.00075,0.1919,0.0018418
0.001,0.1924,7.7782e-06
0.002,0.1926,0.00044524
0.004,0.1924,0.001101
0.008,0.1912,0.0014951
0.016,0.1921,0.00043228
0.032,0.1918,0.0011071
0.064,0.1926,0.00053929
0.128,0.1956,0.0013798
0.256,0.2003,0.00027459
0.512,0.2058,0.0016169
1.024,0.21,0.0011295
2.048,0.2139,0.0011856
4.096,0.2192,0.0010958
8.192,0.2234,0.0009157
16.384,0.2272,9.1217e-05
32.768,0.2297,8.6738e-05
65.536,0.2348,0.00052821
131.072,0.2372,0.0016341
