1.0998e-05,0.1904,0.00025809
5e-05,0.1905,0.001479
0.0001,0.1915,0.0017817
0.00025,0.1902,0.00020247
0.0005,0.1894,8.4853e-05
0.00075,0.1915,0.0013991
0.001,0.1889,0.00043982
0.002,0.1903,0.00038867
0.004,0.1883,0.0014196
0.008,0.1904,0.0020843
0.016,0.1911,0.0022658
0.032,0.196,0.00099985
0.064,0.2019,0.00099796
0.128,0.2011,0.0067081
0.256,0.2083,0.0014717
0.512,0.21,0.0013001
1.024,0.2108,0.00052349
2.048,0.2146,0.0019071
4.096,0.2175,0.0029776
8.192,0.2217,0.0011179
16.384,0.2249,0.0025239
32.768,0.2268,0.0013249
65.536,0.229,0.00067081
131.072,0.2326,0.00015509
