1e-06,0.1924,0.0011358
1.0998e-05,0.1932,5.8218e-05
5e-05,0.1921,0.00096002
0.0001,0.192,0.00022368
0.00025,0.1926,0.0020664
0.0005,0.1922,5.3976e-05
0.00075,0.1932,0.0003816
0.001,0.1938,0.00076085
0.002,0.1927,0.0013442
0.004,0.1939,0.00048885
0.008,0.1923,0.0010618
0.016,0.1928,0.00025079
0.032,0.1924,0.0018015
0.064,0.195,0.00053009
0.128,0.1939,0.0029861
0.256,0.1946,0.001113
0.512,0.1967,0.0011318
1.024,0.2003,0.0032935
2.048,0.2074,0.00085018
4.096,0.2104,0.0023127
8.192,0.2182,0.0015309
16.384,0.2244,0.0012042
32.768,0.2257,0.0024431
65.536,0.2308,0.00082614
131.072,0.2333,0.0010958
